Long,Lat,Vs30
109.4151196,18.67209457,648.6519476
109.4593069,18.66971328,588.2228323
109.5034914,18.66730835,544.1511743
109.547673,18.66487978,525.172941
109.5918517,18.66242757,519.63823
109.6360276,18.65995173,487.5587751
109.6802005,18.65745226,401.7155132
109.7243704,18.65492916,359.1347589
109.7685374,18.65238243,355.0559908
109.8127013,18.64981209,349.6574728
109.8568622,18.64721813,373.5601446
109.90102,18.64460056,396.5564473
109.9451748,18.64195939,395.1965188
109.9893263,18.63929461,393.8365902
110.0334748,18.63660622,383.4594807
110.07762,18.63389425,374.898435
110.1217621,18.63115868,393.310109
110.1659009,18.62839952,417.2261533
110.2100364,18.62561678,331.6211609
108.1343506,18.77302566,401.1459564
108.1786326,18.77132997,408.9428842
108.2229126,18.76961054,417.8854372
108.2671906,18.76786735,426.8279902
108.3114665,18.76610042,423.6543931
108.3557403,18.76430974,403.882386
108.4000119,18.76249532,384.110379
108.4442814,18.76065716,372.2174516
108.4885487,18.75879526,377.4593063
108.5328138,18.75690963,382.701161
108.5770766,18.75500026,387.9430158
108.6213372,18.75306716,393.1848705
108.6655955,18.75111034,398.4267252
108.7098514,18.7491298,424.3769921
108.754105,18.74712553,546.3879034
108.7983562,18.74509755,668.0592187
108.842605,18.74304585,638.744768
108.8868513,18.74097044,599.9913231
108.9310952,18.73887133,622.4332962
108.9753366,18.7367485,673.6442994
109.0195754,18.73460198,686.2838183
109.0638118,18.73243176,664.4907205
109.1080455,18.73023784,648.655499
109.1522766,18.72802022,575.6246351
109.1965051,18.72577892,490.8987834
109.2407309,18.72351394,511.3733746
109.2849541,18.72122527,556.9360481
109.3291745,18.71891292,595.5050738
109.3733921,18.71657689,630.3987041
109.417607,18.71421719,635.3513151
109.4618191,18.71183383,593.657382
109.5060284,18.7094268,561.4769644
109.5502348,18.7069961,523.1604015
109.5944383,18.70454175,509.1337199
109.6386389,18.70206374,526.2013989
109.6828366,18.69956209,483.2452583
109.7270313,18.69703678,445.5631402
109.771223,18.69448783,429.5074197
109.8154117,18.69191524,398.7212605
109.8595974,18.68931902,384.7452787
109.9037799,18.68669916,408.8352031
109.9479594,18.68405568,430.6363468
109.9921357,18.68138857,429.8722932
110.0363088,18.67869784,424.4943947
110.0804788,18.67598349,412.2846094
110.1246456,18.67324554,364.8198875
110.1688091,18.67048397,387.7312079
110.2129693,18.6676988,409.1745974
110.2571262,18.66489002,357.0275889
108.0474994,18.8185357,420.956862
108.0918103,18.81688609,412.2320438
108.1361193,18.8152127,421.1745969
108.1804263,18.81351554,430.1171499
108.2247312,18.8117946,413.1250899
108.2690341,18.81004989,393.3530829
108.3133349,18.80828141,373.5810758
108.3576336,18.80648917,375.0640726
108.4019302,18.80467316,380.3059273
108.4462246,18.80283339,385.547782
108.4905168,18.80096987,390.7896367
108.5348068,18.79908258,396.0314915
108.5790945,18.79717155,400.5592046
108.62338,18.79523676,396.4733129
108.6676632,18.79327823,392.3874211
108.711944,18.79129595,418.2962207
108.7562225,18.78928994,536.7542756
108.8004986,18.78726018,658.7651869
108.8447722,18.78520669,623.4889776
108.8890434,18.78312947,612.336116
108.9333122,18.78102851,631.6573368
108.9775784,18.77890384,681.8614139
109.0218422,18.77675543,700.3432243
109.0661033,18.77458331,681.1103894
109.1103619,18.77238748,643.9077186
109.1546179,18.77016793,558.0120685
109.1988712,18.76792467,527.5288159
109.2431219,18.7656577,566.4995534
109.2873698,18.76336703,587.9447878
109.3316151,18.76105266,582.5970201
109.3758576,18.75871459,619.264606
109.4200973,18.75635283,627.9728383
109.4643342,18.75396738,599.8725658
109.5085683,18.75155825,573.7797921
109.5527995,18.74912543,537.5247869
109.5970278,18.74666893,501.2697818
109.6412532,18.74418876,517.2531899
109.6854757,18.74168492,538.2610535
109.7296952,18.73915741,518.005006
109.7739117,18.73660623,487.7103547
109.8181252,18.7340314,456.831983
109.8623356,18.7314329,425.030323
109.9065429,18.72881076,420.2062389
109.9507471,18.72616497,447.0849142
109.9949482,18.72349553,464.4695996
110.0391461,18.72080245,451.003776
110.0833408,18.71808573,420.3739953
110.1275323,18.71534538,370.8646285
110.1717205,18.7125814,316.3026924
110.2159055,18.7097938,335.5042967
110.2600871,18.70698257,332.3004333
110.3042655,18.70414773,338.9822976
107.9162009,18.86554903,401.2223732
107.9605426,18.86396939,406.5786505
108.0048823,18.86236595,415.5212035
108.0492202,18.8607387,424.4637566
108.0935561,18.85908765,422.3677939
108.13789,18.8574128,402.5957868
108.182222,18.85571415,382.8237798
108.2265519,18.85399171,372.6688389
108.2708797,18.85224547,377.9106936
108.3152055,18.85047545,383.1525483
108.3595291,18.84868164,388.394403
108.4038506,18.84686404,393.6362577
108.44817,18.84502266,398.8781124
108.4924871,18.84315751,397.4742891
108.5368021,18.84126857,393.3883974
108.5811147,18.83935587,389.3025056
108.6254251,18.83741939,385.2166139
108.6697332,18.83545915,381.1307221
108.714039,18.83347514,412.761117
108.7583423,18.83146737,530.0351247
108.8026433,18.82943584,643.2300277
108.8469419,18.82738055,634.2417738
108.891238,18.82530151,639.9963152
108.9355317,18.82319872,660.241246
108.9798228,18.82107219,686.5990536
109.0241114,18.81892191,701.4476274
109.0683975,18.81674789,676.7476454
109.1126809,18.81455013,635.5294637
109.1569618,18.81232864,611.8093402
109.20124,18.81008342,641.3750397
109.2455155,18.80781447,651.5661504
109.2897884,18.8055218,507.4396164
109.3340585,18.80320541,526.2389865
109.3783258,18.8008653,582.567678
109.4225904,18.79850148,587.6437338
109.4668521,18.79611394,568.2656632
109.5111111,18.7937027,555.5587355
109.5553671,18.79126776,519.3037304
109.5996203,18.78880912,511.3625011
109.6438705,18.78632678,530.1683617
109.6881178,18.78382075,531.5673742
