lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
48.70288119,125.4638004,DSA,40.69910049,4.137117937602929,10%,200.0,boore,0.8359734624901352,3.78933279384895,9.958297509657063,weight_sensitivity,Moderate,0.3,0.5,0.2
48.6939509,125.5299143,DSA,42.38169861,4.682226949344358,10%,200.0,boore,0.828667733308331,4.867253258703717,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.6849904,125.5960098,DSA,42.38169861,5.05042467300262,10%,200.0,boore,0.828667733308331,5.603648706020242,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.6759997,125.6620868,DSA,42.38169861,5.194749827835633,10%,200.0,boore,0.8279684124481592,5.953678649752298,9.84759989612518,weight_sensitivity,Moderate,0.3,0.5,0.2
48.66697879,125.7281453,DSA,42.38169861,3.3703897546197945,10%,200.0,boore,0.8314951190575759,2.2418824378050437,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.65792769,125.7941851,DSA,41.28649902,3.3751862144259626,10%,200.0,boore,0.8333758156527793,2.250346939460257,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.64884641,125.8602063,DSA,44.06420135,3.3859056964407213,10%,200.0,boore,0.8549594394065498,2.258835729237513,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.63973497,125.9262088,DSA,44.06420135,3.3924498992007095,10%,200.0,boore,0.8625891167021851,2.267346328380108,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.63059336,125.9921925,DSA,42.96910095,3.3729337507333526,10%,200.0,boore,0.8837715160198268,2.275886285038823,9.849295767039964,weight_sensitivity,Moderate,0.3,0.5,0.2
48.62142159,126.0581574,DSA,29.08040047,3.412287034692942,10%,200.0,boore,0.9002093894626927,2.284448435708268,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.61221969,126.1241034,DSA,29.08040047,3.4231911450193704,10%,200.0,boore,0.92224036663883,2.293038070055443,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.60298765,126.1900305,DSA,27.98530006,3.434631008449403,10%,200.0,boore,0.9460182525953932,2.30165106534157,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.59372549,126.2559386,DSA,15.97159958,3.4469433424991376,10%,200.0,boore,0.9726598282753306,2.3102907880330767,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.58443321,126.3218277,DSA,15.97159958,3.4591271598186015,10%,200.0,boore,0.9988339820227542,2.3189539304235507,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.57511083,126.3876977,DSA,15.97159958,3.4789906237621087,10%,200.0,boore,1.0488035815132877,2.328699098616245,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72942818,124.9211186,DSA,8.76138973,3.2126007096565097,10%,200.0,boore,1.0530199235269662,2.3723875745032297,8.552504726734025,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72074423,124.9873347,DSA,28.50629997,3.2964812858397705,10%,200.0,boore,1.0447521054203432,2.425720084314704,8.850978060281577,weight_sensitivity,Moderate,0.3,0.5,0.2
48.71203001,125.0535327,DSA,30.69000053,3.229103990479527,10%,200.0,boore,1.0171741533145071,2.480233044322792,8.419176111618894,weight_sensitivity,Moderate,0.3,0.5,0.2
48.70328552,125.1197127,DSA,30.69000053,3.290282806721299,10%,200.0,boore,0.9901153961161951,2.46454886624451,8.804868773820928,weight_sensitivity,Moderate,0.3,0.5,0.2
48.69451077,125.1858747,DSA,39.61059952,3.3166058875164945,10%,200.0,boore,0.9550460838953376,2.410405477506151,9.124446617974089,weight_sensitivity,Moderate,0.3,0.5,0.2
